endpoint                 n     p50     p95     p99     max  err
login                   10     984    1288    1288    1288  0 
me                      10      25     531     531     531  0 
draft_impact             3     145     204     204     204  0 
fairness                50      52     137     155     155  0 
fairness_duties          4      48      83      83      83  0 
calendar_35d_past       18      17      57      57      57  0 
published               80      11      25     244     244  0 
calendar_30d            91      14      23      38      38  0 
audit                    2      16      16      16      16  2 {403: 2}
swap_options             9      14      21      21      21  0 
swaps                   39       9      22      22      22  0 
drafts                   2      14      14      14      14  0 
availability_me         33       8      12      18      18  2 {200: 31, 403: 2}
report_monthly           2      10      10      10      10  0 
report_csv               1       8       8       8       8  0 
fairness_asof            1      74      74      74      74  0 
team                     1       8       8       8       8  0 
draft_get                1      11      11      11      11  0 
TOTAL 357 req, 7.7 rps, wall 47s
JSON {"label": "h2-u10-during-gen", "users": 10, "seconds": 46.6, "think": [0.5, 2.0], "requests": 357, "rps": 7.7, "errors": {"audit": 2, "availability_me": 2}, "endpoints": {"login": {"n": 10, "p50": 984, "p95": 1288, "p99": 1288, "max": 1288}, "me": {"n": 10, "p50": 25, "p95": 531, "p99": 531, "max": 531}, "draft_impact": {"n": 3, "p50": 145, "p95": 204, "p99": 204, "max": 204}, "fairness": {"n": 50, "p50": 52, "p95": 137, "p99": 155, "max": 155}, "fairness_duties": {"n": 4, "p50": 48, "p95": 83, "p99": 83, "max": 83}, "calendar_35d_past": {"n": 18, "p50": 17, "p95": 57, "p99": 57, "max": 57}, "published": {"n": 80, "p50": 11, "p95": 25, "p99": 244, "max": 244}, "calendar_30d": {"n": 91, "p50": 14, "p95": 23, "p99": 38, "max": 38}, "audit": {"n": 2, "p50": 16, "p95": 16, "p99": 16, "max": 16}, "swap_options": {"n": 9, "p50": 14, "p95": 21, "p99": 21, "max": 21}, "swaps": {"n": 39, "p50": 9, "p95": 22, "p99": 22, "max": 22}, "drafts": {"n": 2, "p50": 14, "p95": 14, "p99": 14, "max": 14}, "availability_me": {"n": 33, "p50": 8, "p95": 12, "p99": 18, "max": 18}, "report_monthly": {"n": 2, "p50": 10, "p95": 10, "p99": 10, "max": 10}, "report_csv": {"n": 1, "p50": 8, "p95": 8, "p99": 8, "max": 8}, "fairness_asof": {"n": 1, "p50": 74, "p95": 74, "p99": 74, "max": 74}, "team": {"n": 1, "p50": 8, "p95": 8, "p99": 8, "max": 8}, "draft_get": {"n": 1, "p50": 11, "p95": 11, "p99": 11, "max": 11}}}
